Rainfall/Runoff event,Max Influent f_d,Avg Influent f_d,Min Influent f_d,Max Effluent f_d,Avg Effluent f_d,Min Effluent f_d,Max Influent k_d,Avg Influent k_d,Min Influent k_d,Max Effluent k_d,Avg Effluent k_d,Min Effluent k_d
Date in 2008,,,,,,,(L/Kg),(L/Kg),(L/Kg),(L/Kg),(L/Kg),(L/Kg)
20-Mar-08,0.53,0.43,0.12,0.31,0.25,0.05,17302,11945,2250,185165,112430,53535
16-May-08,0.35,0.21,0.07,0.4,0.13,0.05,46637,18303,5761,388364,176615,34195
3-Jun-08,0.56,0.38,0.1,0.16,0.11,0.05,39268,11038,1295,293917,220225,165411
10-Jun-08,0.58,0.32,0.07,0.35,0.23,0.07,30197,13834,1049,313113,97984,31535
21-Jun-08,0.43,0.25,0.08,0.29,0.23,0.13,87658,43146,14036,226795,136479,69002
8-Jul-08,0.16,0.1,0.07,0.16,0.1,0.06,381011,137208,10911,1278214,417623,83021
15-Jul-08,0.4,0.24,0.1,0.4,0.2,0.06,191197,57524,2449,986519,308904,67440
29-Jul-08,0.65,0.49,0.32,0.35,0.23,0.11,35778,9021,852,310153,141626,58322
8-Aug-08,0.48,0.27,0.11,0.15,0.1,0.03,22629,10986,4670,3029953,623604,182996
12-Aug-08,0.59,0.36,0.22,0.48,0.3,0.17,62247,14808,1469,255936,137661,35079
19-Aug-08,0.3,0.18,0.07,0.4,0.27,0.11,83778,20963,4176,111047,72798,35624
10-Sep-08,0.61,0.36,0.15,0.54,0.33,0.13,23622,11978,2620,125642,73812,24692
20-Sep-08,0.6,0.38,0.17,0.37,0.29,0.21,19568,11593,4391,85094,45576,21673
8-Oct-08,0.63,0.44,0.23,0.35,0.21,0.09,42048,10138,1622,187614,84926,22818
23-Oct-08,0.55,0.27,0.09,0.49,0.15,0.03,92993,25417,3950,549038,222488,47926
