Rainfall/Runoff Event,Max NH3(-)-N [?g/L],Avg NH3(-)-N [?g/L],Min NH3(-)-N [?g/L],Max NH3-N [?g/L],Avg NH3-N [?g/L],Min NH3-N [?g/L],Max TDN [?g/L],Avg TDN [?g/L],Min TDN [?g/L],Max Sediment TN [?g/L],Avg Sediment TN [?g/L],Min Sediment TN [?g/L],Max Settleable TN [?g/L],Avg Settleable TN [?g/L],Min Settleable TN [?g/L],Max Suspended TN [?g/L],Avg Suspended TN [?g/L],Min Suspended TN [?g/L],Max TN [?g/L],Avg TN [?g/L],Min TN [?g/L],Max NH2(-)-N [?g/L],Avg NH2(-)-N [?g/L],Min NH2(-)-N [?g/L],,,,,,,,,,,,,,,
20-Mar-08,4771,2326,1135,762,326,65,4219,3087,2123,,N/A,,,N/A,,,N/A,,,N/A,,,N/A,,,,,,,,,,,,,,,,
16-May-08,3799,680,109,794,81,19,13316,3193,1362,2116,913,30,2338,653,49,3667,717,46,19450,5476,1487,,N/A,,,,,,,,,,,,,,,,
3-Jun-08,2534,2033,341,285,188,22,4853,3955,1529,19532,5608,5,2086,689,2,971,715,324,27442,10967,2041,,N/A,,,,,,,,,,,,,,,,
10-Jun-08,800,643,0,987,251,17,10098,4001,1276,7879,2566,53,2463,477,33,1808,1074,250,22055,8119,2851,,N/A,,,,,,,,,,,,,,,,
21-Jun-08,1770,1119,752,173,133,20,5098,3993,2799,1911,1034,39,345,232,18,1293,614,144,8554,5873,3357,,N/A,,,,,,,,,,,,,,,,
8-Jul-08,15088,2663,310,80,22,5,32885,4469,801,1077,172,21,316,65,15,3462,1011,128,33419,5704,1358,,N/A,,,,,,,,,,,,,,,,
15-Jul-08,1195,612,243,97,48,8,2821,968,64,528,120,10,274,53,12,545,246,48,3847,1386,342,,N/A,,,,,,,,,,,,,,,,
29-Jul-08,819,558,310,80,58,2,4909,2577,1121,2056,998,14,5090,1129,18,2318,1538,455,13974,5481,2032,,N/A,,,,,,,,,,,,,,,,
8-Aug-08,1272,1070,785,145,105,0,4790,2150,944,3083,816,27,529,89,6,4344,2000,1090,12747,5054,2530,,N/A,,,,,,,,,,,,,,,,
12-Aug-08,1140,363,175,147,15,5,6078,937,240,2106,672,72,422,160,16,1078,461,60,8498,2231,1165,,N/A,,,,,,,,,,,,,,,,
19-Aug-08,774,671,332,83,41,9,3683,1886,868,4999,1263,37,956,644,2,419,197,12,9208,3989,1032,2,1.6,1.2,,,,,,,,,,,,,,,
10-Sep-08,875,560,450,203,4,0,4719,1063,561,2212,740,55,482,254,26,3138,195,14,8704,2252,853,9.1,1.3,0.1,,,,,,,,,,,,,,,
20-Sep-08,2018,961,379,188,70,16,336,1560,745,1655,383,90,756,341,56,1294,832,272,6759,3117,1690,1.9,1.3,0.2,,,,,,,,,,,,,,,
8-Oct-08,967,644,71,51,32,19,4362,988,740,710,468,52,893,450,59,4668,1268,102,10131,3174,1263,2.4,1.6,0.1,,,,,,,,,,,,,,,
23-Oct-08,1085,731,42,554,184,91,5581,1660,988,2054,496,73,512,127,26,494,157,26,8641,2440,1208,13.5,3.4,1.8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
