Event,Rainfall/Runoff event,PHD,d_rain,h_rain,i_rain-max,IPRT,V_runoff,C,Qinf-max,Qinf-avg,Qeff-max,Qeff-avg,n_inf,n_eff
#,Date in 2008,[hr],[min],[in],[mm/hr],[min],[L],[-],[L/s],[L/s],[L/s],[L/s],[-],[-]
1,20-Mar-08,230,36,0.28,45.7,2,2065,0.58,3.4,0.88,2.24,0.52,12,11
2,16-May-08,960,62,0.42,91.4,12,2213,0.41,8.75,0.9,5.29,0.53,13,13
3,3-Jun-08,432,69,0.08,15.2,8,308,0.3,0.75,0.11,0.45,0.07,9,8
4,10-Jun-08,168,94,1.21,152.4,2,8002,0.52,10.96,1.61,3.95,1.09,16,15
5,21-Jun-08,144,127,0.26,61,6,1132,0.34,3.98,0.34,3.7,0.34,7,6
6,8-Jul-08,141,197,2.92,167.6,4,31268,0.84,13.17,2.14,3.88,1.47,20,20
7,15-Jul-08,66,79,2.45,167.6,9,22438,0.72,13.07,3.6,3.39,1.28,16,15
8,29-Jul-08,309,35,0.22,30.5,6,1411,0.5,3.69,0.55,2.57,0.47,12,12
9,8-Aug-08,191,42,0.12,30.5,3,474,0.31,2.16,0.14,1.51,0.1,10,10
10,12-Aug-08,93,90,0.64,45.7,7,3866,0.48,3.92,0.62,2.79,0.69,15,13
11,19-Aug-08,117,57,0.17,45.7,4,1461,0.68,6.78,0.81,4.44,0.3,10,10
12,10-Sep-08,264,56,0.32,30.5,4,1569,0.39,1.96,0.47,1.65,0.38,13,11
13,20-Sep-08,234,36,0.11,45.7,3,509,0.36,1.09,0.24,0.71,0.2,11,11
14,8-Oct-08,431,180,0.23,30.5,3,1557,0.53,2.75,0.14,1.34,0.06,13,15
15,23-Oct-08,334,56,0.14,30.5,3,978,0.55,1.46,0.29,1.15,0.28,15,15
