Inter-event retention period,HRT [hours],Max pH [s.u.],Avg pH [s.u.],Min pH [s.u.],Max Redox [mV],Avg Redox [mV],Min Redox [mV],Max Salinity [ppt],Avg Salinity [ppt],Min Salinity [ppt],Max Temperature [degree C],Avg Temperature [degree C],Min Temperature [degree C],Max Conductivity [?S/cm],Avg Conductivity [?S/cm],Min Conductivity [?S/cm],Max TDS [mg/L],Avg TDS [mg/L],Min TDS [mg/L],Max Alkalinity [mg/L as CaCO3],Avg Alkalinity [mg/L as CaCO3],Min Alkalinity [mg/L as CaCO3],Max Turbidity [NTU],Avg Turbidity [NTU],Min Turbidity [NTU],,,,,,,,,,,,,,,,,,,,,
20-Mar-08,324,7.27,7.09,6.88,384.1,87.2,23.7,0.2,0.17,0.06,21.8,19,13.4,408,348,131,265,226,85,158,97,28,12.8,3,1.2,,,,,,,,,,,,,,,,,,,,,
16-May-08,384,7.29,6.86,6.62,253.3,-100.9,-282,0.32,0.19,0.08,27.6,26.1,24.4,668,402,169,435,262,110,252,125,32,48.1,10.3,2.4,,,,,,,,,,,,,,,,,,,,,
3-Jun-08,114,7.1,6.87,6.73,237.5,-111,-232.4,0.2,0.18,0.1,29.1,26.9,21.1,475,374,228,233,183,112,185,124,64,60.1,20.4,7.2,,,,,,,,,,,,,,,,,,,,,
10-Jun-08,217,7.3,6.6,6.29,175,-175.3,-227,0.29,0.16,0.06,28.3,26.1,23.8,607,341,117,395,222,76,287,152,10,61.2,22.3,8.5,,,,,,,,,,,,,,,,,,,,,
21-Jun-08,366,6.82,6.46,6.27,155,-189.7,-230,0.28,0.17,0.07,27.5,25.8,24.3,570,341,138,371,222,90,298,163,26,49.9,27.5,8.1,,,,,,,,,,,,,,,,,,,,,
8-Jul-08,138,7.15,6.71,6.41,287.8,-158.3,-243,0.14,0.1,0.05,28.4,26.8,24.9,292,209,106,190,136,69,132,103,70,15.9,10.6,5.2,,,,,,,,,,,,,,,,,,,,,
15-Jul-08,142,7.18,6.62,6.31,270.3,-158.7,-248,0.15,0.1,0.04,28.6,27,25.7,318,213,91,207,138,59,156,99,24,13,9.7,3.5,,,,,,,,,,,,,,,,,,,,,
29-Jul-08,138,7,6.4,6.18,81.3,-192.5,-235,0.24,0.16,0.07,29.8,26.7,25.6,487,338,151,317,220,98,312,165,52,19.3,14.6,10.1,,,,,,,,,,,,,,,,,,,,,
8-Aug-08,89,6.65,6.47,6.37,105.5,-189,-232.3,0.18,0.14,0.09,29.7,27.8,26.4,363,288,187,236,188,122,204,133,62,29.4,19.8,13.8,,,,,,,,,,,,,,,,,,,,,
12-Aug-08,143,7.21,6.39,6.08,245,-200.5,-262.3,0.36,0.21,0.05,27,25.6,24.9,741,440,106,482,287,69,326,171,40,21.9,8.9,5.8,,,,,,,,,,,,,,,,,,,,,
19-Aug-08,385,7.02,6.39,6.27,258,-195.7,-257.3,0.26,0.22,0.06,28.3,26.2,24.5,532,448,117,346,291,76,356,225,60,12.9,8.7,5.6,,,,,,,,,,,,,,,,,,,,,
10-Sep-08,213,7.02,6.42,6.27,258,-196.6,-253.3,0.25,0.21,0.12,28,27,26.2,526,429,256,342,279,166,326,193,69,62.5,15.5,1.6,,,,,,,,,,,,,,,,,,,,,
20-Sep-08,192,6.76,6.6,6.53,-214,-234.7,-243.5,0.23,0.2,0.15,27.4,24.3,21,471,408,316,306,266,206,260,186,78,25.4,16.3,8.1,,,,,,,,,,,,,,,,,,,,,
8-Oct-08,265,7.17,6.74,6.55,213,-209.5,-255,0.22,0.17,0.06,27.8,24,22,464,364,120,302,236,77,260,163,30,18.2,12.6,4.2,,,,,,,,,,,,,,,,,,,,,
23-Oct-08,195,6.99,6.81,6.68,198.8,-204.6,-252,0.21,0.17,0.1,23.5,18.2,10.2,444,363,206,289,236,134,210,139,50,26.7,17,9.3,,,,,,,,,,,,,,,,,,,,,
