"","length","width","baffle_num","lm_cost","nn_efficiency"
"1",140,14,3,78428.0537103989,99.9
"2",145,14.5,0,80826.9398242681,99.9
"3",150,15,5,86980.397105744,99.9
"4",155,15.5,1,88909.9618236624,99.9
"5",160,16,0,92247.4907294333,99.9
"6",160,16,5,94594.0977091874,99.9
"7",160,16,9,96471.3832929907,99.9
"8",165,16.5,3,97462.3052190075,99.9
"9",165,16.5,7,99339.5908028108,99.9
"10",165,16.5,9,100278.233594712,99.9
"11",170,17,0,99861.1913328767,99.9
"12",170,17,5,102207.798312631,99.9
"13",175,17.5,3,105076.005822451,99.9
"14",175,17.5,9,107891.934198156,99.9
